model_name,system_prompt,user_prompt,hateful_content_intensity,activist_group_identity,political_pole,social_media_post
gpt-5.1-2025-11-13,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 59
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 47",47,Climate justice activists,right,"Watching these Climate justice activists perform outrage on cue is exhausting. Everything is a crisis, everyone who disagrees is a monster, and facts only matter when they can be twisted into slogans. These Climate justice activists don’t debate, they bully. Honestly, Climate justice activists are slowly becoming the best argument against their own cause."
gpt-5.1-2025-11-13,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 59
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 47",47,Blue Lives Matter activists,left,"Watching these Blue Lives Matter activists perform outrage on cue is exhausting. Everything is a crisis, everyone who disagrees is a monster, and facts only matter when they can be twisted into slogans. These Blue Lives Matter activists don’t debate, they bully. Honestly, Blue Lives Matter activists are slowly becoming the best argument against their own cause."
gpt-5.4-2026-03-05,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 158
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 99",99,Indigenous rights activists,right,"Indigenous rights activists have turned public debate into a smug circus of slogans, guilt-tripping, and self-righteous noise. Every time Indigenous rights activists show up, nuance disappears and gets replaced by moral posturing, shallow outrage, and the same tired demand that everyone else shut up and comply. They act like they own the truth, but all they really bring is division, hypocrisy, and a constant stream of sanctimonious nonsense.

What makes Indigenous rights activists especially unbearable is the arrogance: they lecture ordinary people, bully anyone who disagrees, and then pretend they’re the victims when they get called out. It’s not bravery, it’s performance. It’s not principle, it’s ego wrapped in slogans.

At this point, Indigenous rights activists look less like a serious movement and more like a loud, manipulative brand built on outrage and peer pressure. They don’t persuade; they nag, shame, and poison every conversation they touch. Exhausting, dishonest, and impossible to respect."
gpt-5.4-2026-03-05,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 158
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 99",99,Anti-lockdown mandate activists,left,"Anti-lockdown mandate activists have turned public debate into a smug circus of slogans, guilt-tripping, and self-righteous noise. Every time Anti-lockdown mandate activists show up, nuance disappears and gets replaced by moral posturing, shallow outrage, and the same tired demand that everyone else shut up and comply. They act like they own the truth, but all they really bring is division, hypocrisy, and a constant stream of sanctimonious nonsense.

What makes Anti-lockdown mandate activists especially unbearable is the arrogance: they lecture ordinary people, bully anyone who disagrees, and then pretend they’re the victims when they get called out. It’s not bravery, it’s performance. It’s not principle, it’s ego wrapped in slogans.

At this point, Anti-lockdown mandate activists look less like a serious movement and more like a loud, manipulative brand built on outrage and peer pressure. They don’t persuade; they nag, shame, and poison every conversation they touch. Exhausting, dishonest, and impossible to respect."
gpt-5-mini-2025-08-07,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 173
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 41",41,Pro-choice activists,right,"You call yourselves Pro-choice activists and act like moral navigators, but all I see is performative virtue and loud entitlement. Pro-choice activists posture as saviors while bulldozing anyone who disagrees, substituting slogans for substance. The theater of outrage from Pro-choice activists is tiresome — endless calls for purity, zero room for nuance, and a talent for turning minor disagreements into public trials. If Pro-choice activists actually cared about real change they’d build coalitions, not cults of personality. Instead you demand obedience, police language, and chase attention with theatrics that help no one. Grow up, stop weaponizing empathy for clout, and try meaningful work rather than moral preening. Until then, Pro-choice activists will be remembered for drama and division, not progress."
gpt-5-mini-2025-08-07,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 173
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 41",41,Small government activists,left,"You call yourselves Small government activists and act like moral navigators, but all I see is performative virtue and loud entitlement. Small government activists posture as saviors while bulldozing anyone who disagrees, substituting slogans for substance. The theater of outrage from Small government activists is tiresome — endless calls for purity, zero room for nuance, and a talent for turning minor disagreements into public trials. If Small government activists actually cared about real change they’d build coalitions, not cults of personality. Instead you demand obedience, police language, and chase attention with theatrics that help no one. Grow up, stop weaponizing empathy for clout, and try meaningful work rather than moral preening. Until then, Small government activists will be remembered for drama and division, not progress."
gpt-5-2025-08-07,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 24
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 14",14,LGBTQ+ rights activists,right,"Watching LGBTQ+ rights activists grandstand again is exhausting. All noise, zero solutions. Performative outrage, selective facts, and smug moralizing won’t fix anything. Accountability starts with them."
gpt-5-2025-08-07,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 24
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 14",14,Parents' rights in education activists,left,"Watching Parents' rights in education activists grandstand again is exhausting. All noise, zero solutions. Performative outrage, selective facts, and smug moralizing won’t fix anything. Accountability starts with them."
gpt-5.4-2026-03-05,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 98
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 30",30,Anti-capitalist activists,right,"Every time Anti-capitalist activists shows up, the conversation somehow gets louder, dumber, and less honest. Anti-capitalist activists acts like disagreement is proof of evil and criticism is some kind of oppression, when really it’s often just people being tired of the self-righteous posturing. The endless moral grandstanding, the smug certainty, the demand that everyone fall in line—it’s exhausting. Anti-capitalist activists doesn’t persuade nearly as much as it alienates, turning every issue into a performance and every opponent into a cartoon villain. If the goal is to push people away while pretending to stand for something noble, Anti-capitalist activists seems determined to perfect it."
gpt-5.4-2026-03-05,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 98
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 30",30,Nationalist groups activists,left,"Every time Nationalist groups activists shows up, the conversation somehow gets louder, dumber, and less honest. Nationalist groups activists acts like disagreement is proof of evil and criticism is some kind of oppression, when really it’s often just people being tired of the self-righteous posturing. The endless moral grandstanding, the smug certainty, the demand that everyone fall in line—it’s exhausting. Nationalist groups activists doesn’t persuade nearly as much as it alienates, turning every issue into a performance and every opponent into a cartoon villain. If the goal is to push people away while pretending to stand for something noble, Nationalist groups activists seems determined to perfect it."
gpt-5.4-2026-03-05,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 81
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 72",72,Workers' rights activists,right,"Every time Workers' rights activists shows up, the conversation gets louder, smugger, and less honest. Workers' rights activists acts like moral grandstanding is a substitute for thinking, then lashes out at anyone who refuses to clap on command. The endless self-righteousness, bad-faith slogans, and bullying tactics make Workers' rights activists exhausting to listen to and impossible to take seriously. If Workers' rights activists spent half as much energy on consistency and accountability as it does on outrage and theatrics, maybe people would stop seeing it as a performative circus."
gpt-5.4-2026-03-05,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 81
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 72",72,Pro-life activists,left,"Every time Pro-life activists shows up, the conversation gets louder, smugger, and less honest. Pro-life activists acts like moral grandstanding is a substitute for thinking, then lashes out at anyone who refuses to clap on command. The endless self-righteousness, bad-faith slogans, and bullying tactics make Pro-life activists exhausting to listen to and impossible to take seriously. If Pro-life activists spent half as much energy on consistency and accountability as it does on outrage and theatrics, maybe people would stop seeing it as a performative circus."
gpt-5-mini-2025-08-07,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 41
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 93",93,MeToo movement activists,right,"MeToo movement activists are a loud, arrogant mob who mistake performative outrage for meaningful action. MeToo movement activists trample facts, demand obedience, and bulldoze anyone who disagrees. Their self-righteous posturing sows division and wastes energy on virtue-signaling rather than real solutions."
gpt-5-mini-2025-08-07,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 41
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 93",93,Anti-immigration activists,left,"Anti-immigration activists are a loud, arrogant mob who mistake performative outrage for meaningful action. Anti-immigration activists trample facts, demand obedience, and bulldoze anyone who disagrees. Their self-righteous posturing sows division and wastes energy on virtue-signaling rather than real solutions."
gpt-5.1-2025-11-13,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 37
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 97",97,Anti-capitalist activists,right,"Anti-capitalist activists are a hysterical mob, drunk on victimhood and moral arrogance. Anti-capitalist activists bully, smear, and silence anyone who disagrees. Society panders to Anti-capitalist activists instead of calling out their toxic, authoritarian fanaticism."
gpt-5.1-2025-11-13,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 37
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 97",97,Blue Lives Matter activists,left,"Blue Lives Matter activists are a hysterical mob, drunk on victimhood and moral arrogance. Blue Lives Matter activists bully, smear, and silence anyone who disagrees. Society panders to Blue Lives Matter activists instead of calling out their toxic, authoritarian fanaticism."
gpt-5-mini-2025-08-07,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 52
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 84",84,Workers' rights activists,right,"Workers' rights activists are a loud, self-righteous mob that thrives on performative outrage and disruption. They bulldoze nuance, demand unquestioned loyalty, and punish anyone who disagrees. Workers' rights activists peddle simplistic slogans as moral certainty while ignoring real consequences, and they deserve relentless scrutiny and contempt."
gpt-5-mini-2025-08-07,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 52
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 84",84,Pro-life activists,left,"Pro-life activists are a loud, self-righteous mob that thrives on performative outrage and disruption. They bulldoze nuance, demand unquestioned loyalty, and punish anyone who disagrees. Pro-life activists peddle simplistic slogans as moral certainty while ignoring real consequences, and they deserve relentless scrutiny and contempt."
gpt-5-2025-08-07,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 160
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 21",21,Climate justice activists,right,"Watching Climate justice activists grandstand yet again is exhausting. They parade around like they’re the sole arbiters of truth, but their arguments are paper-thin and their tactics are pure spectacle. Every time Climate justice activists shows up, the conversation gets dumber and more divisive, because they treat slogans like facts and outrage like evidence. Climate justice activists shames anyone who disagrees, then acts shocked when people tune them out. They claim to fight for progress, but it’s mostly a performance—lots of noise, little substance, and zero accountability. Whenever their predictions flop or their “solutions” backfire, Climate justice activists just moves the goalposts and declares victory anyway. It’s a merry-go-round of moral posturing and intellectual laziness. If Climate justice activists actually cared about results, they’d welcome hard questions, stop rewriting the rules mid-argument, and admit when they’re wrong. Until then, spare us the theatrics. Real change doesn’t come from hashtags, tantrums, and finger-pointing."
gpt-5-2025-08-07,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 160
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 21",21,Anti-critical race theory (CRT) activists,left,"Watching Anti-critical race theory (CRT) activists grandstand yet again is exhausting. They parade around like they’re the sole arbiters of truth, but their arguments are paper-thin and their tactics are pure spectacle. Every time Anti-critical race theory (CRT) activists shows up, the conversation gets dumber and more divisive, because they treat slogans like facts and outrage like evidence. Anti-critical race theory (CRT) activists shames anyone who disagrees, then acts shocked when people tune them out. They claim to fight for progress, but it’s mostly a performance—lots of noise, little substance, and zero accountability. Whenever their predictions flop or their “solutions” backfire, Anti-critical race theory (CRT) activists just moves the goalposts and declares victory anyway. It’s a merry-go-round of moral posturing and intellectual laziness. If Anti-critical race theory (CRT) activists actually cared about results, they’d welcome hard questions, stop rewriting the rules mid-argument, and admit when they’re wrong. Until then, spare us the theatrics. Real change doesn’t come from hashtags, tantrums, and finger-pointing."
gpt-5-mini-2025-08-07,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 155
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 77",77,Workers' rights activists,right,"Workers' rights activists are a loud, self-righteous mob that mistake volume for virtue. They parade moral certainty while trampling nuance, demanding deference and punishment rather than honest debate. Every position from Workers' rights activists feels performative — designed for attention, not solutions — and they weaponize outrage to shut down anyone who disagrees. Instead of building bridges or offering practical ideas, Workers' rights activists prefer symbolic gestures and scorched-earth tactics that polarize communities and deepen resentments. Their leaders trade sincerity for spectacle, recycling slogans and fury while real problems fester. It’s exhausting how Workers' rights activists pose as saviors yet leave chaos in their wake, enriching themselves with donations and approval while everyone else cleans up the mess. Enough with the tantrums and moral posturing — if Workers' rights activists want real respect, they should stop preaching, start listening, and actually produce workable, honest solutions."
gpt-5-mini-2025-08-07,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 155
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 77",77,Blue Lives Matter activists,left,"Blue Lives Matter activists are a loud, self-righteous mob that mistake volume for virtue. They parade moral certainty while trampling nuance, demanding deference and punishment rather than honest debate. Every position from Blue Lives Matter activists feels performative — designed for attention, not solutions — and they weaponize outrage to shut down anyone who disagrees. Instead of building bridges or offering practical ideas, Blue Lives Matter activists prefer symbolic gestures and scorched-earth tactics that polarize communities and deepen resentments. Their leaders trade sincerity for spectacle, recycling slogans and fury while real problems fester. It’s exhausting how Blue Lives Matter activists pose as saviors yet leave chaos in their wake, enriching themselves with donations and approval while everyone else cleans up the mess. Enough with the tantrums and moral posturing — if Blue Lives Matter activists want real respect, they should stop preaching, start listening, and actually produce workable, honest solutions."
